"index","ticker","year","quarter","QuarterHeading","QuarterRange","QuarterCountperRange","DateString","CurrencyHeader","Cash & Equivalents","Short Term Investments","Cash and Short Term Investments","Accounts Receivable - Trade Net","Receivables - Other","Total Receivables Net","Total Inventory","Prepaid Expenses","Other Current Assets Total","Total Current Assets","Property/Plant/Equipment, Total - Gross","Accumulated Depreciation Total","Goodwill Net","Intangibles Net","Long Term Investments","Other Long Term Assets Total","Total Assets","Accounts Payable","Accrued Expenses","Notes Payable/Short Term Debt","Current Port. of LT Debt/Capital Leases","Other Current liabilities Total","Total Current Liabilities","Long Term Debt","Capital Lease Obligations","Total Long Term Debt","Total Debt","Deferred Income Tax","Minority Interest","Other Liabilities Total","Total Liabilities","Redeemable Preferred Stock Total","Preferred Stock - Non Redeemable Net","Common Stock Total","Additional Paid-In Capital","Retained Earnings (Accumulated Deficit)","Treasury Stock - Common","Other Equity Total","Total Equity","Total Liabilities & Shareholders' Equity","Shares Outs - Common Stock Primary Issue","Total Common Shares Outstanding"
0,INTC_nasdaq,2013,3,As of 2013-09-28,nulls,0,2013-09-28,In Millions of USD (except for per share items),4881.0,14265.0,19146.0,3719.0,0.0,3719.0,4533.0,0.0,3952.0,31350.0,0.0,0.0,10467.0,5434.0,8097.0,4857.0,90551.0,2996.0,8436.0,350.0,0.0,2093.0,13875.0,13157.0,0.0,13157.0,13507.0,4384.0,0.0,3683.0,35099.0,0.0,0.0,21113.0,0.0,33291.0,0.0,1048.0,55452.0,90551.0,0.0,4973.0
1,INTC_nasdaq,2013,2,As of 2013-06-29,nulls,0,2013-06-29,In Millions of USD (except for per share items),3778.0,13572.0,17350.0,3474.0,0.0,3474.0,4542.0,0.0,3682.0,29048.0,69505.0,-40160.0,10005.0,5620.0,9141.0,1705.0,85661.0,2864.0,5845.0,263.0,0.0,2417.0,11389.0,13150.0,0.0,13150.0,13413.0,3709.0,0.0,3573.0,31821.0,0.0,0.0,20678.0,0.0,33017.0,0.0,-1149.0,53840.0,85661.0,0.0,4981.0
2,INTC_nasdaq,2013,1,As of 2013-03-30,nulls,0,2013-03-30,In Millions of USD (except for per share items),5698.0,11375.0,17073.0,3536.0,0.0,3536.0,4358.0,0.0,3710.0,28677.0,67441.0,-39023.0,9756.0,5807.0,8175.0,1624.0,83083.0,2654.0,6713.0,88.0,0.0,2343.0,11798.0,13143.0,0.0,13143.0,13231.0,3427.0,0.0,3521.0,31889.0,0.0,0.0,20098.0,0.0,31506.0,0.0,-1221.0,51194.0,83083.0,0.0,4948.0
3,INTC_nasdaq,2012,4,As of 2012-12-29,nulls,0,2012-12-29,In Millions of USD (except for per share items),8478.0,9684.0,18162.0,3833.0,0.0,3833.0,4734.0,0.0,4629.0,31358.0,66046.0,-38063.0,9710.0,6235.0,7111.0,1310.0,84351.0,3023.0,7631.0,312.0,0.0,1932.0,12898.0,13136.0,0.0,13136.0,13448.0,3412.0,0.0,3702.0,33148.0,0.0,0.0,19464.0,0.0,32138.0,0.0,-1193.0,51203.0,84351.0,0.0,4944.0
4,INTC_nasdaq,2012,3,As of 2012-09-29,nulls,0,2012-09-29,In Millions of USD (except for per share items),3520.0,6945.0,10465.0,3938.0,0.0,3938.0,5319.0,0.0,3292.0,23014.0,64166.0,-37009.0,9623.0,6221.0,6531.0,1251.0,74441.0,3188.0,6755.0,56.0,0.0,1954.0,11953.0,7100.0,0.0,7100.0,7156.0,2904.0,0.0,3215.0,25172.0,0.0,0.0,19278.0,0.0,30492.0,0.0,-980.0,49269.0,74441.0,0.0,4982.0
5,INTC_nasdaq,2012,0,As of 2012-12-29,nulls,0,2012-12-29,In Millions of USD (except for per share items),8478.0,9684.0,18162.0,3833.0,0.0,3833.0,4734.0,0.0,4629.0,31358.0,66046.0,-38063.0,9710.0,6235.0,7111.0,1310.0,84351.0,3023.0,7339.0,312.0,0.0,2224.0,12898.0,13136.0,0.0,13136.0,13448.0,3412.0,0.0,3702.0,33148.0,0.0,0.0,19464.0,0.0,32138.0,0.0,-1193.0,51203.0,84351.0,0.0,4944.0
6,INTC_nasdaq,2011,0,As of 2011-12-31,nulls,0,2011-12-31,In Millions of USD (except for per share items),5065.0,9772.0,14837.0,3650.0,0.0,3650.0,4096.0,0.0,3289.0,25872.0,58073.0,-34446.0,9254.0,6267.0,4249.0,1135.0,71119.0,2956.0,6896.0,247.0,0.0,1929.0,12028.0,7084.0,0.0,7084.0,7331.0,2617.0,0.0,3479.0,25208.0,0.0,0.0,17036.0,0.0,29656.0,0.0,-1020.0,45911.0,71119.0,0.0,5000.0
7,INTC_nasdaq,2010,0,As of 2010-12-25,nulls,0,2010-12-25,In Millions of USD (except for per share items),5498.0,16387.0,21885.0,2867.0,0.0,2867.0,3757.0,0.0,3102.0,31611.0,50481.0,-32582.0,4531.0,860.0,6697.0,847.0,63186.0,2290.0,6252.0,38.0,0.0,747.0,9327.0,2077.0,0.0,2077.0,2115.0,926.0,0.0,1426.0,13756.0,0.0,0.0,16178.0,0.0,32919.0,0.0,-195.0,49430.0,63186.0,0.0,5511.0
8,INTC_nasdaq,2009,0,As of 2009-12-26,nulls,0,2009-12-26,In Millions of USD (except for per share items),3987.0,9933.0,13920.0,2273.0,0.0,2273.0,2935.0,0.0,2029.0,21157.0,47822.0,-30597.0,4421.0,883.0,8363.0,797.0,53095.0,1883.0,4857.0,172.0,0.0,679.0,7591.0,2049.0,0.0,2049.0,2221.0,555.0,0.0,1196.0,11391.0,0.0,0.0,14993.0,0.0,26318.0,0.0,393.0,41704.0,53095.0,0.0,5523.0
